applylink,bankname,baseUrl,category,image,location,offerdetails,offerlink,offertitle,shopname,tnc,validity
,Al Maryah Community Bank,https://www.mbank.ae/eid-offers/,,,,,,Period the discount is valid for – 1st May to 7th MayBook Via Email at [email protected] or call hotel reservations at +971 2 818 8888.10% discount on the best available rates during Eid holidays. Please present MBank debit Card to avail the discount,The Ritz Carlton – Abu Dhabi Grand Canal,,
,Al Maryah Community Bank,https://www.mbank.ae/eid-offers/,,,,,,"10% discount on the best available rate, including complimentary Eid brunch for 2 adults on the first day of eid Minimum length of stay required – 2 nightsBrunch at Sofra restaurant will be on the first day of Eid Offer is subject to availabilityOffer is valid for Deluxe Room category. *Twin rooms are subject to availabilityOffer is applicable during the week of Eid al-Fitr onlyPlease present MBank debit Card to avail the discount","Shangri-La Qaryat Al Beri, Abu Dhabi",,
,Al Maryah Community Bank,https://www.mbank.ae/eid-offers/,,,,,,25% Discount on Eid Brunch set menuOffer is applicable on the first day of Eid onlyPlease present MBank debit Card to avail the discount,Silk and Spice Restaurant- Sofitel Abu Dhabi Corniche,,
,Al Maryah Community Bank,https://www.mbank.ae/eid-offers/,,,,,,25% Discount on Eid Brunch buffetOffer is applicable on the first day of Eid onlyPlease present MBank debit Card to avail the discount,Grills @ Chill'O Restaurant – Sofitel Abu Dhabi Corniche,,
,Al Maryah Community Bank,https://www.mbank.ae/eid-offers/,,,,,,2% instant discount on the final bill of Gold Jewellery purchases30% off on Diamond JewelleryOffer is applicable during the week of Eid al-Fitr onlyPlease present MBank debit Card to avail the discount,Kalyan Jewellery,,
,Al Maryah Community Bank,https://www.mbank.ae/eid-offers/,,,,,,Free Quarter Gram Gold Coin (250mg) on purchase of Gold Jewellery worth AED 5000 and above.Get AED 200 off on purchase of Diamond and Masaaki Pearl Jewellery worth AED 2000 &amp; above from any Joyalukkas outlets in UAE.Offer is applicable during the week of Eid al-Fitr onlyPlease present MBank debit Card to avail the discount,Joyalukkas,,
,Al Maryah Community Bank,https://www.mbank.ae/eid-offers/,,,,,,"60% off on Long Necklaces &amp; Colored Stones JewelleryThird Bangle Free when you purchase any two Charming BanglesPendant Free – When you purchase Midnight Spiral for AED 11,000Offer is applicable during the week of Eid al-Fitr onlyPlease present MBank debit Card to avail the discount",Liali Jewellers,,
,Al Maryah Community Bank,https://www.mbank.ae/eid-offers/,,,,,,30 % discount for laser hair removal session and 40 % discount for package.30 % discount for BTL slimming machine and 40 % discount for the package.Offer is applicable during the week of Eid al-Fitr onlyPlease present MBank debit Card to avail the discount,Elyzee Clinic – Al Bateen Abu Dhabi,,
,Al Maryah Community Bank,https://www.mbank.ae/eid-offers/,,,,,,30 % off on total billOffer is applicable during the week of Eid al-Fitr onlyPlease present MBank debit Card to avail the discount,Adam and Eve clinic – Electra/Zayed the 1st street Abu Dhabi.,,
,Al Maryah Community Bank,https://www.mbank.ae/eid-offers/,,,,,,"Get a Gentelmen cut and shave, avail 15% discountGet a Rejuvenating Facial, avail 20% discountGet a Mani-pedi, avail foot spa as complementaryOffer is applicable during the week of Eid al-Fitr onlyPlease present MBank debit Card to avail the discount",Man of Cave – Al Wahda Mall Abu Dhabi,,
,Commercial Bank of Dubai,https://www.cbd.ae/personal/discover/offers-and-rewards/cbd-rewards,,https://www.cbd.ae/images/default-source/default-album/icon1_bookflight.jpg?sfvrsn=f2327f6b_0,,,,Love to travel? Start planning your next trip! Redeem CBD Rewards for tickets across 300+ airlines,Travel More,,
,Commercial Bank of Dubai,https://www.cbd.ae/personal/discover/offers-and-rewards/cbd-rewards,,https://www.cbd.ae/images/default-source/default-album/icon1_plan-a-holiday.jpg?sfvrsn=d3327f6b_0,,,,"Family vacation ? Choose a hotel from over 300,000 properties worldwide and make a reservation using CBD Rewards",Holiday More,,
,Commercial Bank of Dubai,https://www.cbd.ae/personal/discover/offers-and-rewards/cbd-rewards,,https://www.cbd.ae/images/default-source/default-album/rewards-emiratesskywards53cb1fff458f66deb8c5ff0b00b6b24a.jpg?sfvrsn=f344796b_0,,,,Redeem CBD Rewards for Skywards Miles,Go Miles,,
,Commercial Bank of Dubai,https://www.cbd.ae/personal/discover/offers-and-rewards/cbd-rewards,,https://www.cbd.ae/images/default-source/default-album/icon1_shopping.jpg?sfvrsn=f327f6b_0,,,,"In the mood for some retail therapy? CBD Rewards can get you vouchers from leading brands like Zara, Tommy Hilfiger, Sharaf DG, Joyalukkaas and more",Shop More,,
,Commercial Bank of Dubai,https://www.cbd.ae/personal/discover/offers-and-rewards/cbd-rewards,,https://www.cbd.ae/images/default-source/default-album/icon1_redeem.jpg?sfvrsn=6d327f6b_0,,,,"Convert CBD Rewards for cash, directly to your credit card",Get Cashback,,
,Commercial Bank of Dubai,https://www.cbd.ae/personal/discover/offers-and-rewards/cbd-rewards,,https://www.cbd.ae/images/default-source/default-album/icon1_give-charity.jpg?sfvrsn=42327f6b_0,,,,How about spreading some joy? Give back to the community by redeeming CBD Rewards for donations to charity,Give More,,
,Commercial Bank of Dubai,https://www.cbd.ae/personal/discover/offers-and-rewards/cbd-rewards,,https://www.cbd.ae/images/default-source/default-album/icon1_paypoints.jpg?sfvrsn=a0317f6b_0,,,,Use CBD Rewards to pay for any purchases in the UAE or abroad,"Shop anywhere, anytime",,
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://nbf.ae/media/114770/danube_web-banner.jpg?anchor=center&mode=crop&width=230&height=120&rnd=132968447670000000,,,https://nbf.ae/en/personal/promotions/offers-promotions/danube-home-offer,,Danube Home Offer,,Valid Until 30-06-2023
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://nbf.ae/media/114942/website-banners__1070-x-330.jpg?anchor=center&mode=crop&width=230&height=120&rnd=133172324410000000,,,https://nbf.ae/en/personal/promotions/offers-promotions/dsf-0-epp-offer,,"This DSF, enjoy 0% Easy Payment Plans",,Valid Until 29-01-2023
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://nbf.ae/media/114267/1070x330.jpg?anchor=center&mode=crop&width=230&height=120&rnd=132363593160000000,,,https://nbf.ae/en/personal/promotions/offers-promotions/enjoy-60-cashback-on-movie-tickets-at-vox-roxy-and-reel-cinemas,,"Enjoy 60% cashback on movie tickets at VOX Cinemas, Roxy Cinemas and Reel Cinemas",,Valid Until 08-07-2023
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,"https://nbf.ae/media/114912/website-banner__1070-x-330.jpg?center=0.50406504065040647,0.8625&mode=crop&width=230&height=120&rnd=133161025930000000",,,https://nbf.ae/en/personal/promotions/offers-promotions/hongqi-auto-loan-offer,,"Hit the road with your new Hongqi, the car of your dreams!",,Valid Until 31-01-2023
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://nbf.ae/media/114914/navrang_1070-x-330.jpg?anchor=center&mode=crop&width=230&height=120&rnd=133161038750000000,,,https://nbf.ae/en/personal/promotions/offers-promotions/navrang-jewellers-offer,,Navrang Jewellers Offer,,Valid Until 01-08-2023
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://nbf.ae/media/114421/1070x330.png?anchor=center&mode=crop&width=230&height=120&rnd=132526965050000000,,,https://nbf.ae/en/personal/promotions/offers-promotions/nbf-preferred-referral-campaign,,NBF Preferred Referral Campaign,,Valid Until 31-12-2023
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,"https://nbf.ae/media/113425/880-x-271.jpg?center=0.61788617886178865,0.42&mode=crop&width=230&height=120&rnd=131248933850000000",,,https://nbf.ae/en/personal/promotions/offers-promotions/nbf-priority-referral-campaign,,NBF Priority Referral Campaign,,Valid Until 31-12-2023
